project_id,category,goal_usd,backers_count,duration_days
1,Publishing,4981.46,201,27
2,Food,11000.1,259,30
3,Technology,4922.5,81,36
4,Games,816.24,93,33
5,Games,19807.29,3,24
6,Games,10370.26,57,21
7,Music,3593.02,63,24
8,Games,12877.59,33,30
9,Food,3997.68,5,29
10,Film & Video,12939.66,20,23
11,Publishing,8956.77,35,25
12,Art,17355.05,45,18
13,Technology,12715.09,71,33
14,Technology,283.5,102,30
15,Publishing,1060.48,30,20
16,Film & Video,2564.39,31,30
17,Music,15297.66,1,41
18,Art,1883.58,3,24
19,Art,974.55,23,41
20,Technology,10971.16,107,27
21,Music,3056.51,79,32
22,Food,12023.08,117,31
23,Music,973.14,117,41
24,Food,5510.51,155,31
25,Technology,3001.45,101,21
26,Music,497.85,309,20
27,Publishing,6061.26,183,18
28,Games,1521.1,70,16
29,Technology,302.11,70,30
30,Games,409.08,2,22
31,Food,415.12,521,29
32,Art,12015.34,11,24
33,Technology,6833.14,107,24
34,Film & Video,11516.97,137,26
35,Games,5682.59,37,36
36,Technology,3863.85,17,37
37,Music,1915.24,8,33
38,Games,31079.55,110,22
39,Food,2348.57,48,35
40,Games,3280.52,100,36
41,Games,2476.05,197,32
42,Art,19543.22,12,25
43,Technology,1059.79,201,36
44,Music,2087.4,42,33
45,Music,5802.62,29,5
46,Music,426.47,229,35
47,Technology,4772.9,373,15
48,Film & Video,3347.05,17,35
49,Publishing,1770.38,85,29
50,Games,1461.76,9,40
51,Art,3713.01,84,29
52,Games,2393.76,140,23
53,Film & Video,3148.81,92,29
54,Publishing,2158.5,43,38
55,Film & Video,17715.76,38,30
56,Technology,816.12,39,29
57,Technology,609.08,71,36
58,Publishing,2203.34,170,32
59,Food,4570.53,211,30
60,Food,5481.95,4,41
61,Art,2631.32,16,42
62,Technology,36267.39,9,35
63,Publishing,2268.5,17,28
64,Music,6490.01,34,42
65,Publishing,5174.79,56,39
66,Music,8484.67,79,36
67,Film & Video,18795.74,105,20
68,Film & Video,11127.0,176,31
